Detector type,Descriptor Type,Number of matched keypoints,Detector time (ms),Descriptor Time (ms),Total Time (ms)
Shi-Tomasi,BRISK,95,20.2177,2.59431,22.81201
Shi-Tomasi,BRISK,88,19.607,2.60916,22.21616
Shi-Tomasi,BRISK,80,20.4372,2.56612,23.00332
Shi-Tomasi,BRISK,90,17.8741,1.77715,19.65125
Shi-Tomasi,BRISK,82,21.5024,2.46548,23.96788
Shi-Tomasi,BRISK,79,19.6068,2.51814,22.12494
Shi-Tomasi,BRISK,85,19.7621,2.57549,22.33759
Shi-Tomasi,BRISK,86,20.5554,2.45975,23.01515
Shi-Tomasi,BRISK,82,19.3003,2.46927,21.76957
Shi-Tomasi,BRIEF,115,19.4983,1.88623,21.38453
Shi-Tomasi,BRIEF,111,19.2393,2.23521,21.47451
Shi-Tomasi,BRIEF,104,18.4595,2.193,20.6525
Shi-Tomasi,BRIEF,101,18.2696,2.24995,20.51955
Shi-Tomasi,BRIEF,102,18.3361,1.8689,20.205
Shi-Tomasi,BRIEF,102,19.1846,1.82409,21.00869
Shi-Tomasi,BRIEF,100,18.4106,1.59528,20.00588
Shi-Tomasi,BRIEF,109,18.4656,1.66585,20.13145
Shi-Tomasi,BRIEF,100,17.9202,1.77225,19.69245
Shi-Tomasi,ORB,106,19.4341,1.05275,20.48685
Shi-Tomasi,ORB,102,19.8283,1.00869,20.83699
Shi-Tomasi,ORB,99,21.1443,1.22842,22.37272
Shi-Tomasi,ORB,102,19.7269,1.23458,20.96148
Shi-Tomasi,ORB,103,19.1928,1.53761,20.73041
Shi-Tomasi,ORB,97,21.5507,1.26243,22.81313
Shi-Tomasi,ORB,98,19.787,1.2384,21.0254
Shi-Tomasi,ORB,104,18.9433,1.25886,20.20216
Shi-Tomasi,ORB,97,21.7217,1.01401,22.73571
Shi-Tomasi,FREAK,86,20.9112,49.4619,70.3731
Shi-Tomasi,FREAK,90,13.7817,50.2803,64.062
Shi-Tomasi,FREAK,86,13.3375,50.2773,63.6148
Shi-Tomasi,FREAK,88,13.4393,50.4066,63.8459
Shi-Tomasi,FREAK,86,15.075,50.0877,65.1627
Shi-Tomasi,FREAK,80,13.2491,50.0265,63.2756
Shi-Tomasi,FREAK,81,12.6529,50.1611,62.814
Shi-Tomasi,FREAK,86,13.3724,50.2082,63.5806
Shi-Tomasi,FREAK,85,13.762,50.393,64.155
Shi-Tomasi,SIFT,112,14.1927,18.9251,33.1178
Shi-Tomasi,SIFT,109,12.2612,23.5052,35.7664
Shi-Tomasi,SIFT,104,21.635,22.3006,43.9356
Shi-Tomasi,SIFT,103,12.2421,20.5193,32.7614
Shi-Tomasi,SIFT,99,14.1274,18.3086,32.436
Shi-Tomasi,SIFT,101,19.2452,21.7212,40.9664
Shi-Tomasi,SIFT,96,14.7548,18.0294,32.7842
Shi-Tomasi,SIFT,106,12.076,20.5332,32.6092
Shi-Tomasi,SIFT,97,21.1236,16.9056,38.0292
Harris,BRISK,12,15.5409,0.476519,16.017419
Harris,BRISK,10,13.3933,0.816698,14.209998
Harris,BRISK,14,21.5627,0.626401,22.189101
Harris,BRISK,15,19.6694,0.637755,20.307155
Harris,BRISK,16,30.2334,0.949531,31.182931
Harris,BRISK,16,12.9112,0.531862,13.443062
Harris,BRISK,15,25.3934,0.675235,26.068635
Harris,BRISK,23,14.2315,0.644836,14.876336
Harris,BRISK,21,19.5227,0.707987,20.230687
Harris,BRIEF,14,12.5996,0.342576,12.942176
Harris,BRIEF,11,13.1659,0.365161,13.531061
Harris,BRIEF,15,13.3068,0.413732,13.720532
Harris,BRIEF,20,13.5365,0.455009,13.991509
Harris,BRIEF,24,28.385,0.534392,28.919392
Harris,BRIEF,26,12.767,0.358783,13.125783
